DATE,PRICE_INR,RAINFALL_MM,MAX_TEMP_C,MIN_TEMP_C,MEAN_TEMP_C,HUMIDITY_PERCENT
2010-10-25,325,0.28,26.87,22.05,24.46,87.13
2010-10-26,405,24.2,27.91,22.67,25.29,86.88
2010-10-27,405,11.75,27.27,22.99,25.13,90.09
2010-10-28,405,0.07,27.99,21.53,24.76,85.59
2010-10-29,365,0.0,28.85,21.35,25.1,83.93
2010-10-30,405,2.32,28.9,21.54,25.22,82.45
2010-10-31,205,3.47,27.8,21.78,24.79,83.99
2010-11-01,265,5.19,28.28,21.92,25.1,83.55
2010-11-02,245,34.93,26.36,22.1,24.23,89.0
2010-11-03,405,5.42,26.66,22.32,24.49,87.24
2010-11-04,405,1.73,27.58,22.34,24.96,88.16
2010-11-05,405,12.81,26.56,20.84,23.7,79.99
2010-11-06,405,2.0,26.43,20.73,23.58,84.18
2010-11-07,405,27.51,25.88,21.66,23.77,86.18
2010-11-08,405,29.4,25.48,21.48,23.48,92.01
2010-11-09,405,12.47,27.43,21.43,24.43,88.58
2010-11-10,405,2.79,27.41,22.73,25.07,87.97
2010-11-11,405,48.3,25.32,21.92,23.62,92.18
2010-11-12,405,0.64,27.56,21.94,24.75,85.38
2010-11-13,405,12.17,28.3,22.6,25.45,87.22
2010-11-14,405,10.73,29.34,22.88,26.11,85.23
2010-11-15,405,8.54,27.64,22.65,25.15,88.83
2010-11-16,405,8.86,27.14,22.36,24.75,86.05
2010-11-17,405,21.52,25.95,22.95,24.45,86.51
2010-11-18,405,1.74,27.98,21.96,24.97,85.85
2010-11-19,405,12.56,27.82,21.76,24.79,82.06
2010-11-20,405,2.03,27.84,21.82,24.83,82.89
2010-11-21,405,1.75,26.21,21.61,23.91,87.81
2010-11-22,405,2.02,26.59,21.61,24.1,86.56
2010-11-23,405,4.38,26.3,22.3,24.3,86.72
2010-11-24,405,0.71,27.48,22.32,24.9,84.55
2010-11-25,405,0.0,28.13,22.37,25.25,79.8
2010-11-26,405,0.13,27.72,22.1,24.91,79.14
2010-11-27,405,0.01,27.67,21.26,24.47,78.32
2010-11-28,245,0.18,27.39,21.23,24.31,81.74
2010-11-29,405,0.04,28.31,20.51,24.41,79.1
2010-11-30,405,0.0,28.32,20.64,24.48,77.39
2010-12-01,405,0.0,28.63,21.81,25.22,77.78
2010-12-02,405,1.22,27.61,22.11,24.86,82.66
2010-12-03,405,0.02,27.71,21.41,24.56,77.51
2010-12-04,405,0.0,28.54,19.62,24.08,76.89
2010-12-05,405,0.0,25.98,18.1,22.04,75.6
2010-12-06,405,0.0,26.39,18.33,22.36,75.81
2010-12-07,405,0.0,28.04,20.52,24.28,78.34
2010-12-08,405,0.0,27.51,21.56,24.53,82.17
2010-12-09,405,0.02,26.51,21.93,24.22,85.12
2010-12-10,405,9.7,25.32,21.18,23.25,86.48
2010-12-11,405,0.94,25.8,19.94,22.87,84.84
2010-12-12,405,0.0,25.22,18.96,22.09,80.53
2010-12-13,405,0.0,25.26,18.38,21.82,78.52
2010-12-14,405,0.0,26.92,19.11,23.02,80.58
2010-12-15,405,0.04,27.34,20.98,24.16,82.36
2010-12-16,405,0.01,25.37,21.67,23.52,84.25
2010-12-17,305,0.05,25.56,21.72,23.64,83.78
2010-12-18,365,0.0,28.89,18.85,23.87,81.21
2010-12-19,405,0.0,25.45,17.29,21.37,75.23
2010-12-20,405,0.0,27.82,19.22,23.52,79.16
2010-12-21,305,0.0,28.95,17.05,23.0,76.65
2010-12-22,405,0.0,27.4,15.56,21.48,68.82
2010-12-23,405,0.0,27.92,16.14,22.03,63.06
2010-12-24,405,0.0,27.06,17.02,22.04,66.22
2010-12-25,405,0.0,27.76,17.67,22.72,68.83
2010-12-26,405,0.0,27.24,18.56,22.9,78.47
2010-12-27,405,0.0,26.18,19.22,22.7,81.12
2010-12-28,405,0.0,27.09,18.67,22.88,71.67
2010-12-29,405,0.02,28.64,19.51,24.08,73.99
2010-12-30,405,0.0,27.82,21.04,24.43,78.91
2010-12-31,405,0.01,27.36,20.16,23.76,80.71
2011-01-01,420,0.0,26.82,19.34,23.08,80.23
2011-01-02,420,0.0,26.98,19.37,23.17,81.76
2011-01-03,420,0.0,27.61,20.65,24.13,78.39
2011-01-04,420,0.0,28.23,20.43,24.33,75.72
2011-01-05,420,0.0,28.16,20.12,24.14,76.81
2011-01-06,420,0.0,28.24,18.76,23.5,73.66
2011-01-07,420,0.0,28.08,18.31,23.2,73.99
2011-01-08,420,0.0,28.62,18.06,23.34,74.79
2011-01-09,420,0.0,28.94,18.6,23.77,72.35
2011-01-10,420,0.0,29.19,16.67,22.93,66.65
2011-01-11,420,0.0,27.87,15.01,21.44,63.42
2011-01-12,420,0.0,27.8,15.32,21.56,58.31
2011-01-13,420,0.0,28.15,16.03,22.09,60.54
2011-01-14,420,0.0,27.79,16.09,21.94,64.0
2011-01-15,420,0.0,27.9,15.88,21.89,67.76
2011-01-16,420,0.0,29.2,16.6,22.9,66.86
2011-01-17,420,0.0,28.66,17.16,22.91,71.11
2011-01-18,420,0.0,28.96,17.18,23.07,65.26
2011-01-19,420,0.0,28.87,16.99,22.93,69.29
2011-01-20,420,0.0,29.66,16.88,23.27,63.72
2011-01-21,420,0.0,28.75,16.17,22.46,67.81
2011-01-22,420,0.0,28.99,16.83,22.91,68.24
2011-01-23,420,0.0,28.44,17.42,22.93,68.45
2011-01-24,420,0.0,27.72,16.64,22.18,70.33
2011-01-25,420,0.0,27.96,16.51,22.23,66.63
2011-01-26,420,0.0,28.72,17.08,22.9,68.45
2011-01-27,420,0.0,28.45,17.15,22.8,66.12
2011-01-28,420,0.0,28.74,16.64,22.69,62.37
2011-01-29,420,0.0,29.33,16.61,22.97,65.73
2011-01-30,420,0.0,28.79,16.57,22.68,65.36
2011-01-31,420,0.0,28.12,16.06,22.09,62.75
2011-02-01,260,0.0,27.81,16.31,22.06,61.39
2011-02-02,260,0.0,27.9,16.74,22.32,63.42
2011-02-03,420,0.0,29.1,17.1,23.1,63.01
2011-02-04,420,0.0,28.71,17.11,22.91,63.4
2011-02-05,420,0.0,29.7,16.56,23.13,61.0
2011-02-06,420,0.0,29.39,16.91,23.15,58.31
2011-02-07,420,0.0,29.71,17.33,23.52,56.32
2011-02-08,420,0.0,29.96,17.08,23.52,57.27
2011-02-09,420,0.0,29.98,17.14,23.56,56.92
2011-02-10,420,0.0,29.8,17.17,23.49,57.34
2011-02-11,420,0.0,29.54,17.3,23.42,55.49
2011-02-12,420,0.0,29.72,16.68,23.2,57.71
2011-02-13,420,0.0,30.32,16.8,23.56,55.8
2011-02-14,420,0.0,29.54,18.03,23.78,66.9
2011-02-15,420,0.0,27.24,20.1,23.67,75.01
2011-02-16,420,0.0,27.98,19.31,23.65,75.09
2011-02-17,420,0.0,28.56,19.33,23.94,75.08
2011-02-18,420,0.0,28.32,18.22,23.27,74.65
2011-02-19,420,0.0,28.24,17.82,23.03,71.02
2011-02-20,420,0.0,28.41,17.99,23.2,71.41
2011-02-21,420,0.0,29.92,18.56,24.24,70.95
2011-02-22,370,0.0,30.86,21.08,25.97,67.85
2011-02-23,370,0.03,30.44,21.28,25.86,72.33
2011-02-24,170,1.15,29.76,20.64,25.2,74.46
2011-02-25,370,0.05,29.71,19.21,24.46,72.11
2011-02-26,420,0.0,29.69,18.89,24.29,69.87
2011-02-27,250,0.01,31.69,20.09,25.89,64.76
2011-02-28,190,0.0,31.72,19.77,25.75,58.27
2011-03-01,250,0.0,31.73,19.45,25.59,61.35
2011-03-02,250,0.0,31.94,20.24,26.09,59.18
2011-03-03,310,0.0,32.33,19.74,26.03,63.41
2011-03-04,270,0.0,32.49,19.62,26.06,60.53
2011-03-05,420,0.0,32.76,19.26,26.01,58.79
2011-03-06,210,0.0,33.12,19.48,26.3,53.82
2011-03-07,170,0.0,33.9,19.77,26.84,53.88
